,task,true,model,model_extracted,classification_metric
624,chip encryption clipper security escrow privacy encrypt technology agency enforcement message phone algorithm protect secret,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
625,chip encryption clipper security privacy escrow technology encrypt agency phone enforcement message algorithm protect secure,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
626,chip encryption clipper security privacy phone escrow technology agency secure encrypt algorithm message enforcement protect,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
627,chip encryption phone public security clipper access message algorithm technology privacy product protect agency secure,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
628,chip healthy snack tasty excellent lunch crave healthier fiber salty dip satisfy alternative crunch cheddar,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
629,chip healthy tasty excellent fiber healthier lunch crave dip alternative satisfy crunch cheddar vinegar market,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
630,chip potato vinegar kettle corn garden addictive tortilla trap blue starch bbq lucky think salt,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
631,chip potato vinegar kettle corn garden addictive trap salt blue tortilla think lucky starch whole,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
632,chip potato vinegar kettle corn garden addictive trap tortilla blue salt starch think lucky bbq,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
633,chip potato vinegar kettle garden bbq popchips greasy corn addictive tortilla somehow trap blue starch,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
634,chip sauce www http href com cheese potato chili garlic vinegar dip pie bbq kettle,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
635,chip snack healthy tasty excellent lunch crave healthier fiber salty dip satisfy alternative crunch cheddar,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
636,chip star potato corn kettle vinegar yellow addictive blue garden whole trap carrot think reason,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
637,chip star potato corn kettle vinegar yellow blue addictive garden whole trap carrot think reason,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
638,chip star potato corn reason yellow kettle rating vinegar blue addictive garden tortilla trap starch,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
639,chip star potato corn reason yellow kettle rating vinegar blue garden addictive tortilla trap starch,0,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
640,chip star potato corn reason yellow kettle vinegar blue rating addictive garden tortilla trap think,-1,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
641,chip star potato corn vinegar kettle yellow blue addictive garden trap tortilla reason think whole,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
642,chip star potato reason salty corn veggie thin rating kettle rate garden addictive greasy sesame,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
643,chip star potato salty corn veggie reason vinegar kettle rating think still whole addictive garden,2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather yes</s>",1,0.75
644,chip star potato salty corn veggie reason vinegar kettle rating think whole addictive garden still,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
645,chocolate chip sauce hot com www http href cheese pack spicy pepper salt potato cocoa,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
646,chocolate http www href com pie pack dark variety melt cherry truffle roast fudge caviar,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
647,church bible christ catholic faith matthew lord scripture father word spirit paul holy passage interpretation,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
648,church bible christ catholic matthew faith lord scripture father word spirit holy paul passage interpretation,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
649,church bible christ faith catholic matthew lord scripture father word spirit holy heaven interpretation teach,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
650,church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation heaven,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
651,church bible christ faith catholic matthew lord scripture father word spirit holy teach interpretation passage,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
652,church catholic authority pope bible public country belief live strong child religion love regard always,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
653,church catholic authority pope matter member bishop faith involve schism command teaching situation public bible,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
654,church catholic authority pope matter member bishop tradition teaching priest involve doctrine schism command faith,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
655,church catholic pope authority tradition doctrine priest orthodox teaching bishop divine nature matter revelation schism,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
656,church catholic pope authority tradition doctrine priest orthodox teaching bishop nature divine matter revelation schism,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
657,church truth absolute doug symbol borland bible libxmu scripture paradox matter reading error interpretation exercise,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
658,church truth absolute doug symbol borland bible scripture libxmu paradox catholic matter darren error certain,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
659,church truth absolute doug symbol borland libxmu scripture bible paradox matter reading interpretation exercise error,1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
660,church truth catholic absolute pope bible matter scripture symbol revelation borland interpretation faith libxmu certain,2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
661,city judas young hanging acts present sdsu move election money bill thousand office tree decenso,-2,"  Sure, I'd be happy to help! Here's the classification of the given list of words:  Class: rather no</s>",-1,0.25
662,city judas young hanging present sdsu election acts move bill thousand office money babb among,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
663,city matthew young hang word judas greek hanging fall tree acts hearing sdsu present thus,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
664,city word matthew young hang judas greek hanging tree acts hearing fall sdsu specifically present,-2,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
665,city word matthew young hang judas greek hanging tree hearing acts fall sdsu specifically present,-1,  Sure! Here's the classification of the given list of words:  Class: rather yes</s>,1,0.75
